GPSWeek,GPSTime,imu_lon,imu_lat,headingAngle,x,y,v,cmd_steering,cmd_v,imu_gps_state,imu_altitude,imu_satellite_num,imu_warning
2169.0,182170.42,116.34994559,40.00381667,190.2,444514.43111730565,4428383.175434752,0.621,0,0,42.0,39.97,18.0,2.0
2169.0,182170.92,116.34994501,40.00381384,189.93,444514.37931987725,4428382.861689757,0.652,0,0,42.0,39.97,17.0,2.0
2169.0,182171.43,116.34994436,40.00381094,189.4,444514.3214908659,4428382.540218934,0.634,0,0,42.0,39.97,17.0,2.0
2169.0,182171.94,116.34994379,40.00380808,187.31,444514.27052270406,4428382.223137967,0.625,0,0,42.0,39.97,17.0,2.0
2169.0,182172.44,116.34994338,40.00380525,185.08,444514.2332357721,4428381.909287137,0.63,0,0,42.0,39.97,18.0,2.0
2169.0,182172.95,116.34994312,40.0038024,181.97,444514.20873603807,4428381.593123091,0.622,0,0,42.0,39.97,15.0,2.0
2169.0,182173.46,116.34994304,40.00379956,179.33,444514.19960846414,4428381.277956903,0.605,0,0,42.0,39.97,18.0,2.0
2169.0,182173.97,116.34994313,40.0037967,178.57,444514.2049752094,4428380.960465047,0.634,0,0,42.0,39.97,17.0,2.0
2169.0,182174.48,116.34994326,40.00379384,178.05,444514.2137561934,4428380.642948287,0.631,0,0,42.0,39.96,19.0,2.0
2169.0,182174.98,116.34994344,40.00379099,177.62,444514.22681307094,4428380.326510315,0.627,0,0,42.0,39.95,18.0,2.0
2169.0,182175.49,116.34994365,40.00378798,177.09,444514.2423011006,4428379.992295019,0.685,0,0,42.0,39.94,18.0,2.0
2169.0,182176.0,116.34994388,40.00378503,176.65,444514.2595448246,4428379.664726767,0.617,0,0,42.0,39.93,18.0,2.0
2169.0,182176.51,116.3499441,40.00378219,176.18,444514.2760240386,4428379.349373808,0.613,0,0,42.0,39.93,17.0,2.0
2169.0,182177.02,116.34994431,40.00377929,175.62,444514.291601125,4428379.027367582,0.647,0,0,42.0,39.92,16.0,2.0
2169.0,182177.52,116.34994454,40.00377652,175.43,444514.3089905693,4428378.719777808,0.603,0,0,42.0,39.92,17.0,2.0
2169.0,182178.03,116.34994474,40.00377371,176.88,444514.32378695835,4428378.407767046,0.586,0,0,42.0,39.92,17.0,2.0
2169.0,182178.54,116.34994479,40.0037709,178.41,444514.32577994943,4428378.095849672,0.639,0,0,42.0,39.92,14.0,2.0
2169.0,182179.05,116.34994477,40.00376786,179.87,444514.32161183207,4428377.75844782,0.684,0,0,42.0,39.91,13.0,2.0
2169.0,182179.55,116.34994476,40.00376473,177.96,444514.3182244154,4428377.411050504,0.679,0,0,42.0,39.9,17.0,2.0
2169.0,182180.06,116.34994491,40.00376144,175.95,444514.32836442895,4428377.04579493,0.699,0,0,42.0,39.9,16.0,2.0
2169.0,182180.57,116.34994523,40.00375827,175.83,444514.3531121071,4428376.693752506,0.676,0,0,42.0,39.9,15.0,2.0
2169.0,182181.08,116.34994555,40.00375513,175.59,444514.377884074,4428376.345039831,0.7,0,0,42.0,39.89,15.0,2.0
2169.0,182181.58,116.34994592,40.00375194,175.28,444514.40688336414,4428375.990746451,0.769,0,0,42.0,39.88,16.0,2.0
2169.0,182182.09,116.34994635,40.00374818,174.91,444514.4405425829,4428375.573150534,0.832,0,0,42.0,39.89,16.0,2.0
2169.0,182182.6,116.34994674,40.00374448,176.48,444514.4708361376,4428375.162239012,0.785,0,0,42.0,39.89,14.0,2.0
2169.0,182183.11,116.34994703,40.00374077,178.63,444514.49258600024,4428374.750279834,0.8,0,0,42.0,39.89,13.0,2.0
2169.0,182183.62,116.34994701,40.00373706,180.68,444514.48787550314,4428374.338513647,0.801,0,0,42.0,39.89,14.0,2.0
2169.0,182184.13,116.34994698,40.00373335,180.85,444514.4823114442,4428373.926753688,0.833,0,0,42.0,39.89,15.0,2.0
2169.0,182184.63,116.34994698,40.00372969,181.1,444514.47934854345,4428373.520524629,0.825,0,0,42.0,39.89,17.0,2.0
2169.0,182185.14,116.34994694,40.00372584,181.39,444514.4728175898,4428373.093232077,0.876,0,0,42.0,39.9,15.0,2.0
2169.0,182185.65,116.34994684,40.00372176,180.95,444514.46097908146,4428372.640448824,0.894,0,0,42.0,39.9,15.0,2.0
2169.0,182186.16,116.34994684,40.00371769,177.48,444514.4576842712,4428372.188713231,0.893,0,0,42.0,39.89,14.0,2.0
2169.0,182186.66,116.3499472,40.00371368,175.8,444514.48516620917,4428371.7434130125,0.884,0,0,42.0,39.89,15.0,2.0
2169.0,182187.17,116.34994756,40.0037096,177.11,444514.5125914835,4428371.290343382,0.894,0,0,42.0,39.89,16.0,2.0
2169.0,182187.68,116.34994782,40.00370548,178.26,444514.53144877334,4428370.832896347,0.876,0,0,42.0,39.91,15.0,2.0
2169.0,182188.19,116.34994798,40.00370135,179.41,444514.5417623654,4428370.374401655,0.892,0,0,42.0,39.93,15.0,2.0
2169.0,182188.7,116.34994797,40.00369721,179.27,444514.5375573348,4428369.914902882,0.911,0,0,42.0,39.94,16.0,2.0
2169.0,182189.21,116.349948,40.00369302,177.85,444514.5367260706,4428369.449829629,0.905,0,0,42.0,39.95,16.0,2.0
2169.0,182189.72,116.34994789,40.00368886,176.39,444514.5239692408,4428368.988173281,0.92,0,0,42.0,39.96,18.0,2.0
2169.0,182190.22,116.34994804,40.00368477,175.75,444514.53346165863,4428368.534124475,0.925,0,0,42.0,39.96,17.0,2.0
2169.0,182190.73,116.34994821,40.00368072,176.79,444514.54469358263,4428368.084502882,0.9,0,0,42.0,39.95,18.0,2.0
2169.0,182191.24,116.34994838,40.00367665,177.56,444514.5559093179,4428367.632661458,0.898,0,0,42.0,39.95,19.0,2.0
2169.0,182191.75,116.34994869,40.00367256,176.43,444514.57905871543,4428367.178513046,0.909,0,0,42.0,39.94,19.0,2.0
2169.0,182192.26,116.34994909,40.0036684,175.45,444514.6098334982,4428366.716539196,0.905,0,0,42.0,39.93,17.0,2.0
2169.0,182192.77,116.34994959,40.00366428,174.48,444514.64917627885,4428366.258942751,0.912,0,0,42.0,39.94,16.0,2.0
2169.0,182193.28,116.3499502,40.00366015,173.52,444514.6979001387,4428365.800167912,0.912,0,0,42.0,39.94,18.0,2.0
2169.0,182193.78,116.34995084,40.00365611,172.56,444514.74925754906,4428365.351363636,0.901,0,0,42.0,39.94,17.0,2.0
2169.0,182194.29,116.34995155,40.00365203,173.69,444514.8065575123,4428364.898076118,0.889,0,0,42.0,39.95,18.0,2.0
2169.0,182194.8,116.34995209,40.00364813,177.42,444514.8494926562,4428364.464872916,0.86,0,0,42.0,39.94,16.0,2.0
2169.0,182195.31,116.34995218,40.00364418,180.7,444514.8539770727,4428364.026400284,0.883,0,0,42.0,39.94,16.0,2.0
2169.0,182195.82,116.34995223,40.00364017,181.14,444514.85499867296,4428363.581293062,0.899,0,0,42.0,39.94,18.0,2.0
2169.0,182196.33,116.34995221,40.0036361,180.35,444514.84999677166,4428363.129569927,0.894,0,0,42.0,39.94,19.0,2.0
2169.0,182196.83,116.34995231,40.0036321,179.27,444514.8552942777,4428362.685541495,0.904,0,0,42.0,39.94,18.0,2.0
2169.0,182197.34,116.34995249,40.00362797,178.13,444514.8673150346,4428362.227034357,0.888,0,0,42.0,39.94,19.0,2.0
2169.0,182197.85,116.34995264,40.00362389,177.05,444514.8768155869,4428361.774095472,0.885,0,0,42.0,39.94,18.0,2.0
2169.0,182198.35,116.34995293,40.00361986,175.97,444514.8983064794,4428361.3266190095,0.911,0,0,42.0,39.94,19.0,2.0
2169.0,182198.86,116.34995331,40.00361584,175.47,444514.9274875254,4428360.880196433,0.899,0,0,42.0,39.95,18.0,2.0
2169.0,182199.37,116.34995369,40.00361181,175.54,444514.9566604802,4428360.432663941,0.879,0,0,42.0,39.95,19.0,2.0
2169.0,182199.88,116.34995419,40.0036079,175.67,444514.9961733238,4428359.998375727,0.871,0,0,42.0,39.95,17.0,2.0
2169.0,182200.39,116.34995457,40.00360395,177.07,444515.02541104704,4428359.55972256,0.866,0,0,42.0,39.95,18.0,2.0
2169.0,182200.9,116.34995477,40.0036,178.42,444515.0392846653,4428359.121181451,0.87,0,0,42.0,39.95,17.0,2.0
2169.0,182201.41,116.3499548,40.00359601,179.77,444515.03861535195,4428358.678306516,0.877,0,0,42.0,39.95,17.0,2.0
2169.0,182201.92,116.34995452,40.00359176,179.63,444515.01127514,4428358.206766768,0.887,0,0,42.0,39.94,18.0,2.0
2169.0,182202.43,116.34995434,40.00358759,179.39,444514.9925353112,4428357.744044092,0.896,0,0,42.0,39.93,20.0,2.0
2169.0,182202.94,116.34995433,40.00358346,179.19,444514.9883384152,4428357.285655243,0.876,0,0,42.0,39.93,19.0,2.0
2169.0,182203.45,116.34995439,40.00357931,178.96,444514.99010026245,4428356.825002983,0.9,0,0,42.0,39.93,21.0,2.0
2169.0,182203.96,116.34995451,40.00357527,178.69,444514.99707253056,4428356.376522441,0.888,0,0,42.0,39.93,19.0,2.0
2169.0,182204.47,116.34995466,40.00357117,178.43,444515.006556916,4428355.921363732,0.903,0,0,42.0,39.93,19.0,2.0
2169.0,182204.98,116.34995484,40.00356711,178.19,444515.0186343718,4428355.470626008,0.886,0,0,82.0,39.94,17.0,2.0
2169.0,182205.49,116.34995515,40.00356301,177.93,444515.041775759,4428355.015367689,0.889,0,0,82.0,39.95,18.0,2.0
2169.0,182206.0,116.34995543,40.00355887,177.65,444515.06232407887,4428354.555688387,0.898,0,0,42.0,39.96,17.0,2.0
2169.0,182206.51,116.34995568,40.00355484,177.4,444515.0804007635,4428354.108236832,0.9,0,0,42.0,39.98,18.0,2.0
2169.0,182207.02,116.34995597,40.00355084,177.14,444515.10191598884,4428353.664090122,0.893,0,0,42.0,39.99,17.0,2.0
2169.0,182207.53,116.34995628,40.00354672,176.91,444515.1250411967,4428353.206611974,0.897,0,0,42.0,40.02,18.0,2.0
